msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Fargo, ND-MN",11470,32019,5.583086312,16722478.06,522.267343,3.06277245,10011,8791460.623,17517,501.8816363,1.032649625,0.003368157,1.567202508,1.367852163,2284.874416,1201.2205,20.91615429,7318.773383
"Farmington, NM",15227,36902,4.846916661,19478288.1,527.8382772,2.517961516,10724,10051603.55,19159,524.6413459,1.10487081,0.006576544,1.057270881,0.744609767,1352.454641,697.9226199,6.130189815,14402.17477
"Fayetteville, NC",28238,67345,4.769813726,17358309.26,257.7520121,2.516077626,19787,9147120.946,35489,257.7452435,1.066937912,0.008396968,6.586184242,4.615087032,4048.623235,2133.459304,21.41226172,4287.459774
"Fayetteville-Springdale-Rogers, AR",33165,81981,4.943826323,24540541.44,299.3442558,2.534328358,23962,12564657.41,42007,299.1086584,1.116805496,0.009188945,4.796263446,3.465341917,3549.009553,1817.078458,23.3230803,6914.757785
"Flagstaff, AZ",13528,33471,4.948403312,26433157.61,789.7331303,2.567859255,9897,13537895.31,17351,780.2371802,1.134437623,0.008760302,0.280150928,0.204956663,547.4034326,280.3558498,9.565052256,48288.25694
"Flint, MI",15691,41778,5.325090816,9751182.48,233.4047221,2.800395131,12516,5125076.811,21930,233.701633,1.054887953,0.006748746,9.323495708,7.436930233,5794.092665,3045.289124,10.82173526,1682.952456
"Florence, SC",16532,41184,4.982337285,13118633.1,318.5371286,2.570529881,12123,6751439.017,21200,318.4641046,1.065581531,0.005660377,4.655891462,3.414188979,3694.588184,1901.40136,3.412404334,3550.770059
"Florence-Muscle Shoals, AL",13582,34548,5.087321455,10566238.34,305.8422583,2.656898837,10233,5457207.194,18026,302.7408851,1.078152648,0.012038167,3.90778651,2.944218772,3040.097456,1570.136994,16.48035799,3475.624875
"Fond du Lac, WI",5686,14590,5.131902919,5834534.021,399.8995217,2.750791418,4480,3044246.37,7751,392.7553051,1.042826497,0.011740421,2.866571328,2.258571852,2941.454086,1534.743116,10.04463916,1983.554341
"Fort Collins, CO",19068,47497,4.981854416,11747320.98,247.3276413,2.66603734,14490,6134766.297,25440,241.1464739,1.138713012,0.013561321,2.796143632,2.124822804,1722.63461,899.6060267,21.84953204,6819.392173
"Fort Smith, AR-OK",19351,49116,5.076326805,17781111.2,362.0227868,2.604206501,14118,9191933.222,25115,365.9937576,1.101177543,0.005773442,3.008420185,2.194867251,2764.356045,1429.031959,4.617606217,6432.279673
"Fort Wayne, IN",18120,46048,5.082560706,12251092.84,266.0504874,2.742163355,14008,6538892.762,24791,263.7607504,1.047873754,0.010164979,7.011609967,5.420454327,4740.611737,2530.251968,18.50030158,2584.285219
"Fresno, CA",35959,95037,5.285853333,29716786.13,312.6864919,2.904530159,29919,15804664.87,52211,302.7075688,1.061681593,0.002470744,2.30855753,1.920791255,1907.809182,1014.654971,11.42179111,15576.39328
"Gadsden, AL",7800,20157,5.168461538,6137888.249,304.5040556,2.696410256,6013,3176710.942,10470,303.4107872,1.084014412,0.005444126,5.490718374,4.232780715,4320.694331,2236.208351,0.755870346,1420.579143
"Gainesville, FL",22560,55964,4.961347518,16833001.66,300.7826756,2.691932624,17239,8895231.615,30399,292.6159286,1.06572548,0.005723872,3.183350592,2.432525747,2375.236959,1255.17025,13.20270304,7086.872572
"Gainesville, GA",9523,21807,4.579859288,5672624.004,260.1285827,2.472330148,6572,3008765.959,11737,256.348808,1.101133208,0.008946068,8.55750653,5.90569494,5097.502568,2703.720922,13.34660072,1112.824158
"Gettysburg, PA",5081,13177,5.186774257,5183975.177,393.4108809,2.676244834,3941,2659479.968,6749,394.0554109,1.064590356,0.004296933,3.759587636,2.916066694,3835.782126,1967.830743,2.264210808,1351.478006
"Glens Falls, NY",9435,23446,4.970005299,9944977.489,424.1652089,2.522522523,6867,5047179.596,11870,425.2046837,1.085326396,0.015248526,2.050563435,1.492445057,2161.39981,1096.932902,3.710902716,4601.174408
"Goldsboro, NC",7027,17508,4.983065319,5292363.476,302.2825837,2.591859969,5082,2778924.612,9060,306.7245709,1.058711067,0.005960265,4.864511662,3.518065784,3663.692023,1923.738606,2.725438509,1444.543767
"Grand Forks, ND-MN",8330,24585,5.902761104,18925593.48,769.8024601,3.083793517,7231,9741103.157,12740,764.6077831,1.02337989,0.004081633,0.936303708,0.812774564,2127.263308,1094.913687,7.550687359,8896.6859
"Grand Island, NE",6648,19555,5.882972323,10495036.79,536.6932648,3.093411552,5742,5364118.911,10204,525.6878588,1.025671836,0.003234026,1.581182853,1.365696743,2496.175124,1275.820223,5.736013751,4204.447313
"Grand Junction, CO",9597,23405,4.877565906,7739567.544,330.6800916,2.606439512,6991,4084635.461,12518,326.3009635,1.145234816,0.006550567,1.108017979,0.807143242,893.5688227,471.5900313,16.35104841,8661.411799
